City,Temperature (Celcius),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude Coord.,Longitude Coord.,Country
Jiaocheng,23.58,98,100,1.32,24.68,116.14,CN
Isangel,17,93,40,2.1,-19.55,169.27,VU
Oktyabrskiy,19.98,46,0,2,55.61,37.97,RU
Waddan,33.68,13,0,4.58,29.16,16.14,LY
Qasigiannguit,13,43,20,2.6,68.82,-51.19,GL
Ikom,22.58,97,100,1.13,5.96,8.72,NG
Makokou,23.18,79,69,1.01,0.56,12.85,GA
Black River,30,66,20,3.1,18.03,-77.85,JM
Sao Joao da Barra,22.32,49,75,0.79,-21.64,-41.05,BR
Lorengau,26.77,80,93,4.5,-2.02,147.27,PG
Novospasskoye,15.78,96,100,2.01,53.15,47.75,RU
San Francisco,19,63,40,2.1,1.17,-76.88,CO
Alta Floresta,31,35,0,3.1,-9.87,-56.08,BR
Khandyga,13.28,72,40,1.98,62.65,135.58,RU
Hasaki,17.73,88,75,5.1,35.73,140.83,JP
Sturgis,20.48,79,93,3.78,51.94,-102.54,CA
Arraial do Cabo,22,49,40,2.6,-22.97,-42.02,BR
Vila do Maio,29,51,40,8.2,15.13,-23.22,CV
Bagn,12.22,63,100,3.58,60.82,9.55,NO
Longyearbyen,11,76,0,1,78.22,15.63,NO
Kapaa,25.45,78,90,6.2,22.08,-159.32,US
Faanui,26.18,82,34,7.48,-16.48,-151.75,PF
Tasiilaq,8,70,5,4.6,65.61,-37.64,GL
Ribeira Grande,23,73,20,6.2,38.52,-28.7,PT
Opuwo,17.18,11,0,3.59,-18.06,13.84,NA
Regeneracao,31.68,43,6,4.27,-6.24,-42.69,BR
Talnakh,11,66,0,14,69.49,88.39,RU
College,17.81,72,75,3.54,64.86,-147.8,US
Kruisfontein,13.88,74,100,4.61,-34,24.73,ZA
Saskylakh,9.38,95,73,2.95,71.97,114.09,RU
Thinadhoo,29.28,76,43,5.67,0.53,72.93,MV
Pita,23.38,90,100,1.51,11.06,-12.4,GN
Ilulissat,13,43,20,2.6,69.22,-51.1,GL
Merauke,25.98,82,90,9.3,-8.49,140.4,ID
Codrington,11.72,93,90,2.6,-28.95,153.24,AU
Katsuura,22.44,94,75,6.2,33.93,134.5,JP
Ruidoso,22.54,43,1,7.2,33.33,-105.67,US
Brae,12.57,81,20,3.1,60.4,-1.35,GB
Gali,17.18,98,75,0.28,42.63,41.74,GE
Antalaha,19.68,93,37,0.57,-14.9,50.28,MG
Nanning,29,83,0,1,22.83,108.3,CN
Kang,13.08,34,0,4.03,-23.67,22.79,BW
Hami,29.48,16,84,3.21,42.84,93.51,CN
Port Blair,28.77,81,100,8.06,11.67,92.75,IN
Khatanga,6.28,94,77,1.63,71.98,102.47,RU
La Rioja,12.48,46,32,2.4,-29.41,-66.86,AR
Tuktoyaktuk,6,87,40,2.1,69.44,-133.03,CA
Fairbanks,17.21,72,75,3.54,64.84,-147.72,US
Kirakira,25.38,86,82,5.02,-10.46,161.92,SB
Bastia,27.99,78,20,1.5,44.6,8.98,IT
Shar,22.78,94,100,2.86,7.3,8.73,NG
Klaksvik,12,71,20,3.6,62.23,-6.59,FO
Sao Filipe,22.68,79,79,6.2,14.9,-24.5,CV
Nouadhibou,23,69,0,9.3,20.93,-17.03,MR
Saint-Denis,22.86,33,0,5.7,48.94,2.36,FR
Kodinsk,13.68,69,4,0.95,58.6,99.18,RU
Abu Samrah,24.78,60,0,7.46,35.3,37.18,SY
Husavik,25.56,57,97,1.34,50.56,-96.99,CA
Labuhan,20.18,91,0,0.84,-2.54,115.51,ID
Feijo,29.22,74,75,3.42,-3.63,-79.92,EC
Dikson,0.18,97,100,7.4,73.51,80.55,RU
San Miguel,13.08,54,0,1.5,-34.54,-58.72,AR
Tommot,16.38,85,17,1.26,58.97,126.27,RU
Paamiut,9.58,64,98,3.24,61.99,-49.67,GL
Saint-Joseph,30.16,66,0,2.6,43.56,6.97,FR
Beloha,20.07,71,0,4.53,-25.17,45.06,MG
Taulov,15.6,59,88,6.7,55.54,9.61,DK
Logon,29.08,75,79,4.93,11.33,124.11,PH
Heyang,18.18,97,100,1.36,26.1,107.47,CN
Yulara,9,49,0,3.79,-25.24,130.99,AU
Richards Bay,20.88,77,0,5.35,-28.77,32.06,ZA
Belmonte,24.29,32,16,4.75,40.36,-7.35,PT
Dhidhdhoo,28.98,78,57,5.47,6.88,73.1,MV
Ipixuna,30,66,75,3.6,-1.76,-48.8,BR
Kolpashevo,16.18,79,63,4.28,58.31,82.9,RU
Mareeba,20.13,94,90,5.1,-16.99,145.42,AU
Pec,19.88,28,0,3.6,49.4,12.83,DE
Jeremie,28.88,73,64,3.92,18.65,-74.12,HT
Zhigansk,15.78,87,9,3.62,66.77,123.37,RU
Sola,24.78,39,87,4.1,-3.17,33.8,TZ
Coihaique,5.01,93,90,2.1,-45.58,-72.07,CL
Wajir,32,35,75,1.5,1.75,40.07,KE
Arazede,22.66,68,40,5.7,40.28,-8.65,PT
Nishihara,19.24,77,90,2.1,35.74,139.53,JP
Constitucion,18.71,68,75,3.03,23.99,-104.67,MX
Salalah,29,89,75,4.1,17.01,54.1,OM
Pampa,27.73,78,1,5.7,35.54,-100.96,US
Nikolskoye,16.56,59,75,6,59.7,30.79,RU
Korop,14.48,82,51,2.99,51.57,32.95,UA
Makakilo City,25.23,94,40,8.99,21.35,-158.09,US
Kingisepp,14.38,85,96,2.97,59.38,28.61,RU
Hirara,28.78,86,100,7.62,24.8,125.28,JP
Ust-Nera,13.28,52,99,3.21,64.57,143.24,RU
Chuy,12.68,58,27,2,-33.69,-53.46,UY
Denpasar,24,88,20,2.1,-8.65,115.22,ID
Caravelas,21.58,73,33,5.78,-17.73,-39.27,BR
Vila Velha,29.05,55,40,9.8,-3.71,-38.6,BR
Cherskiy,18.18,52,75,3.4,68.75,161.3,RU
Ekhabi,7.18,93,29,2.86,53.51,142.97,RU
Amur,12.48,92,69,4.08,54.1,61.58,RU
Sitka,29.98,49,81,6.5,37.17,-99.65,US
Shingu,17.48,98,100,1.8,33.72,135.99,JP
Lagoa,22.85,73,20,8.7,37.14,-8.45,PT
Rocha,13.18,58,47,1.84,-34.48,-54.34,UY
Sibolga,28.18,73,100,4.33,1.74,98.78,ID
Saldanha,23.68,40,60,4.69,41.42,-6.55,PT
Baruun-Urt,16.88,73,96,2.59,46.68,113.28,MN
Nioki,28.68,35,64,1.03,-2.72,17.69,CD
Takoradi,23.08,90,100,2.36,4.89,-1.75,GH
Chicama,18,88,90,4.6,-7.84,-79.15,PE
Tuatapere,7.78,92,100,6.71,-46.13,167.69,NZ
Siderno,31.14,66,40,4.1,38.28,16.3,IT
Vaitape,26.18,82,34,7.48,-16.52,-151.75,PF
Birmingham,29.99,70,75,2.6,33.52,-86.8,US
Lere,24.78,82,97,1.75,9.66,14.23,TD
Okha,6.47,95,0,3.82,53.59,142.95,RU
Zaozerne,13.88,66,82,3.67,51.37,23.94,UA
Faya,25.1,73,40,5.1,18.39,42.45,SA
Lompoc,15.01,87,14,2.1,34.64,-120.46,US
West Bay,16.53,87,75,1.5,49.34,-123.21,CA
Shushtar,37.58,8,0,6.84,32.05,48.86,IR
Umm Kaddadah,30.28,45,95,5.41,13.6,26.69,SD
Chongwe,22,28,0,2.1,-15.33,28.68,ZM
Sibu,23.91,88,75,1,2.29,111.83,MY
Namibe,21,73,40,5.1,-15.19,12.15,AO
Poso,15.38,93,77,1.52,-1.4,120.75,ID
Nueve de Julio,14.88,43,88,1.49,-31.67,-68.39,AR
Boulder City,29.25,12,1,6.7,35.98,-114.83,US
Nicoya,24.16,88,75,1.95,10.15,-85.45,CR
Nanortalik,11.07,43,100,5.39,60.14,-45.24,GL
Mount Isa,18,59,40,2.1,-20.73,139.49,AU
Kaputa,18.58,48,44,1.99,-8.47,29.66,ZM
Chokurdakh,14.58,65,0,3.67,70.62,147.9,RU
Karasjok,15,51,0,6.7,69.47,25.52,NO
Vanimo,27.28,79,61,2.64,-2.67,141.3,PG
Beringovskiy,14.08,61,29,1.26,63.05,179.32,RU
Port-Gentil,24,88,90,5.1,-0.72,8.78,GA
Gberia Fotombu,23.68,95,100,3.3,9.88,-11.17,SL
Pevek,6.78,69,37,1.03,69.7,170.27,RU
Hay River,7,75,75,5.7,60.82,-115.79,CA
Ballina,16.65,82,75,3.1,54.11,-9.15,IE
Octeville,21.12,63,0,6.7,49.63,-1.64,FR
Yaritagua,25,78,75,5.1,10.08,-69.12,VE
Margaritas,29.18,34,46,1.7,20.45,-102.47,MX
Touros,29,70,40,8.2,-5.2,-35.46,BR
Hailar,14.78,91,95,1.71,49.2,119.7,CN
Tura,12.18,84,39,4.62,64.27,100.22,RU
Cascais,21.66,77,40,6.2,38.7,-9.42,PT
Qaanaaq,3.58,92,100,1.69,77.48,-69.36,GL
Airai,19.58,87,38,1.93,-8.93,125.41,TL
Kodiak,29.17,66,1,4.1,39.95,-94.76,US
Zigong,19.48,95,65,0.78,29.34,104.78,CN
Port Lincoln,14.98,78,0,5.68,-34.72,135.86,AU
Saint-Pierre,23.02,33,0,6.7,48.95,4.24,FR
Tilichiki,10.78,92,100,1.75,60.47,166.1,RU
Nordfjordeid,13.67,67,75,4.1,61.91,5.99,NO
Birzai,11.68,98,100,1.2,56.2,24.75,LT
Gayny,12.78,95,14,1.49,60.3,54.33,RU
Japura,23.38,97,99,0.77,-0.42,102.29,ID
Pipri,25.78,90,100,5.52,24.21,83.02,IN
Channel-Port aux Basques,12.28,81,7,9.03,47.57,-59.14,CA
Mallapuram,26.68,53,98,3.12,11.97,78.27,IN
Stillwater,29.92,48,75,2.6,36.12,-97.06,US
Sur,28.88,69,8,4.98,22.57,59.53,OM
Luwuk,16.87,99,77,1.82,-0.95,122.79,ID
Sterling,22.4,94,90,3.1,39,-77.4,US
Naze,26,88,75,2.1,5.43,7.07,NG
Alice Springs,9,70,0,2.6,-23.7,133.88,AU
Matara,11.78,84,41,0.17,-3.48,29.48,BI
Tabuk,17.68,90,100,0.73,17.41,121.44,PH
Mocuba,16.88,71,58,1.8,-16.84,36.99,MZ
Turayf,35,15,0,5.1,31.68,38.65,SA
Port Augusta,4.7,93,0,2.6,-32.49,137.76,AU
Dunedin,7.22,58,98,2.24,-45.87,170.5,NZ
Yatou,25,100,75,1,3.63,9.81,CM
Fayaoue,20.58,75,76,8.12,-20.65,166.53,NC
Tual,25.77,85,53,8.79,-5.67,132.75,ID
Poquoson,28.87,79,75,4.6,37.12,-76.35,US
Harper,28.63,54,1,4.6,30.3,-99.24,US
Provideniya,19.08,30,64,2.52,64.42,-173.23,RU
Luz,21.18,48,0,2.48,-19.79,-45.68,BR
Ponta do Sol,19.68,49,0,2.6,-20.63,-46,BR
Zhezkazgan,28.77,19,0,5.98,47.8,67.71,KZ
Jizan,36,50,40,4.6,16.89,42.56,SA
Kaitangata,7.78,68,100,4.92,-46.28,169.85,NZ
Belance,21.28,91,100,0.25,16.2,121.24,PH
Gatesville,31.19,58,1,2.1,31.44,-97.74,US
Port Macquarie,10.54,100,1,2.1,-31.43,152.91,AU
Marrakesh,33,26,0,2.6,31.63,-7.99,MA
Vila,31.91,27,0,3.6,45.18,8.4,IT
Watsa,23.77,93,26,1.02,3.04,29.53,CD
Limanowa,19.29,34,40,6.7,49.71,20.42,PL
Deniliquin,9.44,92,3,2.66,-35.53,144.96,AU
San Jose,27,74,20,4.6,14.25,-87.96,HN
Vieux-Habitants,31,66,40,6.7,16.06,-61.77,GP
Riachao do Jacuipe,24.48,65,92,6.68,-11.81,-39.39,BR
Blythe,31.85,20,1,4.1,33.61,-114.59,US
Rorvik,14.04,82,75,3.6,64.86,11.24,NO
Udachnyy,17,72,0,2,66.42,112.4,RU
Cabedelo,28,69,40,8.2,-6.97,-34.84,BR
Nalhati,26.28,95,100,2.58,24.29,87.85,IN
Muros,21.05,88,75,4.6,42.77,-9.06,ES
Mogadishu,24.68,84,98,4.92,2.04,45.34,SO
Kuzino,10.08,95,100,1.19,57.02,59.44,RU
Kongsvinger,17.51,51,75,5.7,60.19,12.01,NO
Kailua,25.24,94,90,5.1,21.39,-157.74,US
Beira,19.38,82,20,5.7,43.2,-8.36,ES
Costinesti,26.75,57,75,4.1,43.95,28.63,RO
Mafeteng,14,54,3,2.6,-29.82,27.24,LS
Barahona,30,70,40,6.2,18.21,-71.1,DO
Mount Gambier,8,100,90,5.1,-37.83,140.78,AU
Bathsheba,31,66,40,8.7,13.22,-59.52,BB
Kavaratti,28.58,80,100,6.97,10.57,72.64,IN
Chkalovsk,22,49,20,1,56.76,43.24,RU
Necochea,11.68,69,100,3.58,-38.55,-58.74,AR
Pitimbu,28,69,40,8.2,-7.47,-34.81,BR
Planaltina,24.24,50,0,4.6,-15.62,-47.66,BR
Shaunavon,20.28,63,58,5.55,49.65,-108.41,CA
Kilindoni,25.88,79,0,6.49,-7.91,39.67,TZ
San Patricio,17.38,57,0,2.76,-26.98,-56.83,PY
Dacudao,23.73,88,90,1,7.22,125.47,PH
Yar-Sale,10.18,63,30,3.93,66.83,70.83,RU
Ternate,29.14,70,20,1.5,14.29,120.72,PH
Northam,12,100,75,1.02,-31.65,116.67,AU
Xalpatlahuac,24.88,54,21,2.28,17.47,-98.62,MX
Abha,25.14,73,40,5.1,18.22,42.5,SA
Ancud,10,93,90,5.7,-41.87,-73.83,CL
Obo,21.38,96,93,1.99,5.39,26.49,CF
Naryan-Mar,6.07,75,0,7.48,67.67,53.09,RU
East Angus,22.83,40,20,3.1,45.48,-71.66,CA
Santa Marta,31,74,75,3.6,11.24,-74.21,CO
Berlevag,10.01,81,0,2.1,70.86,29.09,NO
Lavrentiya,19.48,34,30,1.13,65.58,-170.99,RU
Ballyshannon,15.26,87,90,4.1,54.5,-8.19,IE
Carnarvon,11.88,60,0,3.18,-30.97,22.13,ZA
Tabou,23.18,87,100,3.11,4.42,-7.36,CI
Tacna,15.54,72,20,1.5,-18.01,-70.25,PE
Inhambane,21,83,0,2.49,-23.87,35.38,MZ
Murgab,36,26,6,5.1,37.5,61.97,TM
Kroya,22.78,84,30,2.13,-6.5,108.06,ID
Evanston,24.7,47,90,2.72,42.04,-87.69,US
Almaznyy,28,39,0,6,48.03,40.04,RU
Petropavlovsk-Kamchatskiy,8,100,75,2,53.05,158.65,RU
Sabha,34.68,10,0,4.57,27.03,14.43,LY
Sisimiut,6.78,67,92,14.35,66.94,-53.67,GL
Dzemul,31,62,75,2.1,21.21,-89.31,MX
Aitape,24.48,92,76,1.96,-3.15,142.36,PG
Lenger,30,28,0,2,42.18,69.89,KZ
Gat,30,58,0,5.7,14.69,-16.54,SN
Amarwara,22.28,90,100,4.58,22.3,79.17,IN
Burns Lake,18.18,70,100,1.44,54.23,-125.76,CA
Mersing,23.78,93,15,1.21,2.43,103.84,MY
Obigarm,10.38,69,17,3.88,38.72,69.71,TJ
Madras,17.19,55,1,2.85,44.63,-121.13,US
Guerrero Negro,18.08,88,48,4.52,27.97,-114.04,MX
Benguela,21.38,88,0,5.99,-12.58,13.4,AO
Bethanien,9.88,28,38,2.07,-26.5,17.16,NA
Diapaga,31.28,55,50,4.7,12.07,1.79,BF
Emerald,15.87,88,40,2.1,-23.53,148.16,AU
Alanya,28.93,83,0,4.6,36.55,32,TR
Morehead,26.33,74,90,2.1,38.18,-83.43,US
Parkes,8.33,97,1,2.08,-33.14,148.18,AU
Kolyshley,21.67,67,100,1.71,52.7,44.54,RU
Victoria,25.25,88,75,1.26,5.28,115.24,BN
Ponta Pora,18,48,0,8.2,-22.54,-55.73,BR
Verona,31.28,38,0,1.5,45.44,10.99,IT
Bailieborough,15.56,78,100,1.79,53.92,-6.97,IE
Ertil,15.48,98,100,2.71,51.84,40.8,RU
Miragoane,28.78,67,16,1.73,18.44,-73.09,HT
Wenchi,24.58,91,90,1.71,7.74,-2.1,GH
Vercheres,25.07,36,1,2.1,45.78,-73.35,CA
Havre-Saint-Pierre,18,63,20,11.3,50.23,-63.6,CA
Bafoulabe,29.88,56,100,3.15,13.81,-10.83,ML
Khorixas,22.68,7,0,3.91,-20.37,14.96,NA
Katherine,14,67,44,2.6,-14.47,132.26,AU
Rome,29.69,55,0,3.6,41.89,12.48,IT
Bacolod,27.68,76,100,3.07,10.68,122.95,PH
Xam Nua,21.58,84,100,1.89,20.42,104.04,LA
Luanda,25,78,20,4.6,-8.83,13.24,AO
Slave Lake,15,67,90,5.1,55.28,-114.77,CA
Beisfjord,18.16,24,0,4.1,68.38,17.6,NO
Khao Yoi,24.98,79,100,1.61,13.24,99.82,TH
Maragogi,27.57,64,15,3.69,-9.01,-35.22,BR
Sao Joao do Piaui,26.98,52,48,6.82,-8.36,-42.25,BR
Pokhara,14.48,99,100,0.46,28.21,83.99,NP
Kaeo,7.78,94,94,0.94,-35.1,173.78,NZ
Taoudenni,45.48,7,52,2.1,22.68,-3.98,ML
Nizhniy Kuranakh,16.08,91,45,0.76,58.84,125.49,RU
Miri,24.08,75,100,1.34,10.31,9.75,NG
Elko,19.3,48,1,1.5,40.83,-115.76,US
Kieta,26.08,83,88,4.51,-6.22,155.63,PG
Qostanay,20,45,0,2,53.17,63.58,KZ
Masumbwe,23.08,44,53,1.62,-3.65,32.16,TZ
Urucara,28.08,87,38,0.74,-2.54,-57.76,BR
Gumdag,30.08,43,0,2.72,39.2,54.59,TM
Benjamin Constant,25,65,40,3.1,-4.38,-70.03,BR
Acapulco,30,74,5,2.1,16.86,-99.88,MX
Peniche,21.66,68,40,5.1,39.36,-9.38,PT
Havelock,28.77,78,75,3.1,34.88,-76.9,US
Kargasok,14.68,91,52,3.78,59.06,80.87,RU
Batemans Bay,2.46,96,0,1.34,-35.71,150.18,AU
Hofn,9,76,90,5.7,64.25,-15.21,IS
Novita,28.18,79,100,2.35,4.96,-76.61,CO
Beroroha,18.88,42,29,1.6,-21.68,45.17,MG
Coahuayana,31.18,61,10,1.17,18.62,-100.35,MX
Saint-Leu,20.93,78,0,0.27,-21.15,55.28,RE
Poum,27,57,40,2.1,41.28,20.71,MK
Segezha,10.48,78,70,5.02,63.74,34.31,RU
Bang Saphan,26.08,86,37,3.22,11.21,99.51,TH
Urusha,13.18,96,98,1.11,54.05,122.9,RU
Islamkot,29.18,68,38,10.08,24.7,70.18,PK
Dwarka,30.28,62,75,2.6,28.58,77.04,IN
Sawakin,36,32,15,6.2,19.1,37.33,SD
Port Hardy,13,93,90,1.5,50.7,-127.42,CA
San Pedro,13.89,53,67,1.34,-33.68,-59.66,AR
Macas,18,100,90,3.1,-2.3,-78.12,EC
Changchun,20,82,0,1,43.88,125.32,CN
Impfondo,23.28,81,78,1.43,1.62,18.06,CD
Big Bend,22,46,20,3.6,-26.79,31.94,SZ
Chipinge,14.48,67,0,0.88,-20.19,32.62,ZW
Buluang,27,78,75,3.6,10.47,123.98,PH
Tayu,23.61,78,75,6.7,35.06,136.67,JP
Masunga,20,28,0,2.6,-20.62,27.45,BW
Bontang,21.68,99,2,1.17,0.12,117.47,ID
Bundaberg,14.53,93,90,3.1,-24.87,152.35,AU
Uray,12.78,87,97,3.06,60.13,64.8,RU
Bambanglipuro,24.28,82,13,7.92,-7.95,110.28,ID
Kungurtug,10.68,90,92,1.65,50.6,97.53,RU
La Ronge,14,76,90,5.1,55.1,-105.3,CA
Shelburne,24.88,36,1,0.6,44.08,-80.2,CA
Verkhnyaya Inta,10.38,77,100,1.38,65.99,60.32,RU
Gravdal,12.81,71,75,9.3,59.79,5.78,NO
Kurilsk,10.78,89,0,1.64,45.23,147.88,RU
Mehamn,9.94,62,0,2.6,71.03,27.85,NO
Verkhoyansk,13.78,93,92,1.94,67.55,133.39,RU
Sribne,15.28,76,59,3.5,50.66,32.92,UA
Slupca,16.68,59,36,3.13,52.29,17.87,PL
Hamilton,23.89,49,40,2.6,43.26,-79.87,CA
New Glasgow,24.72,57,1,5.81,45.59,-62.65,CA
Egvekinot,20.38,45,22,1.08,66.32,-179.17,RU
Cairns,20.05,94,90,5.1,-16.92,145.77,AU
Dovers,29,79,40,1.5,12.88,-61.18,VC
Riviere-au-Renard,25,33,40,6.2,49,-64.4,CA
Yerbogachen,18.78,58,78,3,61.28,108.01,RU
Zhongshu,18.48,94,100,1.47,24.52,103.77,CN
Bugiri,19.88,75,28,2.17,0.57,33.75,UG
Sorong,23.57,95,100,2.86,-0.86,131.25,ID
Grand Gaube,22.89,83,20,1,-20.01,57.66,MU
Den Helder,15.89,67,75,6.7,52.96,4.76,NL
Baykit,10.78,90,33,2.38,61.68,96.39,RU
Zvishavane,12.68,62,0,1.38,-20.32,30.05,ZW
Nipawin,19,88,90,5.7,53.36,-104.02,CA
Griffith,3.44,100,90,1.92,-34.29,146.06,AU
Cienfuegos,30.17,74,40,2.6,22.15,-80.44,CU
Jalu,33.48,19,0,3.64,29.03,21.55,LY
Shebunino,15,100,75,2,57.66,40.04,RU
Oda,21.08,91,81,3.23,35.19,132.5,JP
Otavalo,18,59,75,1,0.23,-78.26,EC
Maldonado,14,54,0,2.1,-34.91,-54.96,UY
Mandera,29.48,47,58,7.11,3.94,41.86,ET
Seoul,20.92,60,1,2.32,37.57,126.98,KR
Itarema,28.68,68,56,5.17,-2.92,-39.92,BR
Nizhnyaya Tavda,12.48,92,100,1.75,57.67,66.17,RU
Quatre Cocos,22.88,83,20,1,-20.21,57.76,MU
Cockburn Town,30,70,40,5.1,21.46,-71.14,TC
